Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,axes_0,axes_1,axes_2,axes_3,axes_4,axes_5,axes_6,axes_7,buttons_0,buttons_1,buttons_2,buttons_3,buttons_4,buttons_5,buttons_6,buttons_7,buttons_8,buttons_9,buttons_10,buttons_11,buttons_12,buttons_13
1638480388.3330574,30150,1638480388,332028972,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.16498306393623352,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.3713195,30151,1638480388,370384655,joystick,-0.5979796648025513,0.9690847396850586,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.4085662,30152,1638480388,407894283,joystick,-0.5979796648025513,0.9690847396850586,-1.0,-0.16498306393623352,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.4373233,30153,1638480388,436703864,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.4709654,30154,1638480388,470350114,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.4993584,30155,1638480388,498653815,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.550365,30156,1638480388,549441014,joystick,-0.5979796648025513,0.9690847396850586,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.569667,30157,1638480388,569173537,joystick,-0.5979796648025513,0.9690847396850586,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.6047795,30158,1638480388,604237869,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.6346378,30159,1638480388,633072506,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.667019,30160,1638480388,666606784,joystick,-0.5979796648025513,0.9690847396850586,-1.0,-0.16498306393623352,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.7038593,30161,1638480388,702930949,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.7359817,30162,1638480388,735377209,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.7672808,30163,1638480388,766618997,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.7998967,30164,1638480388,799098666,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.8407986,30165,1638480388,840332081,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.8735297,30166,1638480388,873009296,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.902483,30167,1638480388,901577713,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.9357598,30168,1638480388,935370594,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.9657872,30169,1638480388,965350852,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480389.0182838,30170,1638480389,17875986,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480389.0372224,30171,1638480389,36700915,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480389.0672488,30172,1638480389,66678164,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480389.1039214,30173,1638480389,102888787,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480389.1446145,30174,1638480389,144146745,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.14435255527496338,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480389.1696267,30175,1638480389,169083027,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480389.2008185,30176,1638480389,200360367,joystick,-0.5979796648025513,0.9793999791145325,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480389.234717,30177,1638480389,234138398,joystick,-0.5773491859436035,1.0,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480389.2658477,30178,1638480389,265300182,joystick,-0.5773491859436035,1.0,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480389.299177,30179,1638480389,298648113,joystick,-0.5773491859436035,1.0,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480389.3332527,30180,1638480389,332843860,joystick,-0.5670338869094849,1.0,-1.0,-0.15466780960559845,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480389.3659976,30181,1638480389,365420972,joystick,-0.5670338869094849,1.0,-1.0,-0.1031220406293869,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480389.4024532,30182,1638480389,401633387,joystick,-0.5670338869094849,1.0,-1.0,-0.09280678629875183,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480389.4333425,30183,1638480389,432997899,joystick,-0.5670338869094849,1.0,-1.0,-0.08249153196811676,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
